neighbourhood,property_type,room_type,zipcode,beds,number_of_records,number_of_reviews,price,review_scores_rating,host_experience,price_per_bed,reviews_per_year,reviews_per_listing
Manhattan,Apartment,Entire home/apt,10024,3,1,0,199,0,18,66.33333333,0,0
Brooklyn,Apartment,Entire home/apt,11222,1,1,4,149,100,18,149,0.210526316,0.210526316
Manhattan,Apartment,Entire home/apt,10004,1,1,9,250,100,18,250,0.473684211,0.473684211
Brooklyn,Apartment,Private room,11201,1,1,80,90,94,18,90,4.210526316,4.210526316
Manhattan,Apartment,Entire home/apt,10009,2,1,95,270,90,18,135,5,5
Manhattan,Apartment,Entire home/apt,10009,2,1,23,290,96,18,145,1.210526316,1.210526316
Brooklyn,Apartment,Entire home/apt,11221,2,1,14,170,98,18,85,0.736842105,0.736842105
Manhattan,Apartment,Private room,10026,2,1,120,59,93,18,29.5,6.315789474,6.315789474
Manhattan,Apartment,Private room,10026,2,1,81,49,91,18,24.5,4.263157895,4.263157895
Brooklyn,House,Private room,11223,1,1,0,68,0,18,68,0,0
Manhattan,Apartment,Entire home/apt,10018,1,1,17,285,97,18,285,0.894736842,0.894736842
Brooklyn,Apartment,Private room,11216,1,1,32,75,95,18,75,1.684210526,1.684210526
Manhattan,Apartment,Private room,10025,1,1,52,145,99,18,145,2.736842105,2.736842105
Queens,Apartment,Private room,11106,1,1,3,100,93,18,100,0.157894737,0.157894737
Manhattan,Apartment,Entire home/apt,10001,3,1,171,150,85,18,50,9,9
Manhattan,Apartment,Private room,10013,1,1,9,125,86,18,125,0.473684211,0.473684211
Manhattan,Apartment,Private room,10013,1,1,0,175,0,18,175,0,0
Queens,House,Private room,11365,1,1,0,90,0,18,90,0,0
Brooklyn,Apartment,Private room,11220,1,1,1,40,100,18,40,0.052631579,0.052631579
Queens,Apartment,Entire home/apt,11373,1,1,4,89,93,18,89,0.210526316,0.210526316
Queens,Apartment,Entire home/apt,11373,1,1,16,95,94,18,95,0.842105263,0.842105263
Queens,Apartment,Entire home/apt,11373,2,1,9,99,100,18,49.5,0.473684211,0.473684211
Manhattan,Apartment,Entire home/apt,10002,1,1,19,149,93,18,149,1,1
Manhattan,Apartment,Entire home/apt,10038,4,1,2,499,80,18,124.75,0.105263158,0.105263158
Manhattan,Apartment,Private room,10038,4,1,0,99,0,18,24.75,0,0
Manhattan,Apartment,Shared room,10038,1,1,0,99,0,18,99,0,0
Brooklyn,Apartment,Private room,11206,1,1,16,125,94,18,125,0.842105263,0.842105263
Manhattan,Apartment,Entire home/apt,10024,2,1,28,170,88,18,85,1.473684211,1.473684211
Manhattan,Apartment,Private room,10024,1,1,62,120,92,18,120,3.263157895,3.263157895
Manhattan,Apartment,Private room,10009,1,1,23,79,89,18,79,1.210526316,1.210526316
Manhattan,Apartment,Entire home/apt,10027,3,1,6,125,97,18,41.66666667,0.315789474,0.315789474
Brooklyn,Apartment,Entire home/apt,11217,1,1,5,110,92,18,110,0.263157895,0.263157895
Brooklyn,Other,Private room,11238,3,1,14,89,85,18,29.66666667,0.736842105,0.736842105
Brooklyn,Apartment,Entire home/apt,11213,3,1,12,180,93,18,60,0.631578947,0.631578947
Brooklyn,Apartment,Entire home/apt,11213,3,1,5,180,95,18,60,0.263157895,0.263157895
Manhattan,Apartment,Entire home/apt,10026,1,1,23,143,82,17,143,1.277777778,1.277777778
Manhattan,Apartment,Entire home/apt,10027,2,1,28,230,89,17,115,1.555555556,1.555555556
Manhattan,Apartment,Entire home/apt,10030,5,1,40,350,86,17,70,2.222222222,2.222222222
Queens,Apartment,Entire home/apt,11368,2,1,47,135,86,17,67.5,2.611111111,2.611111111
Manhattan,Apartment,Private room,10027,1,1,9,85,87,17,85,0.5,0.5
Manhattan,Apartment,Private room,10027,1,1,13,85,91,17,85,0.722222222,0.722222222
Manhattan,Apartment,Private room,10027,1,1,14,85,92,17,85,0.777777778,0.777777778
Manhattan,Apartment,Private room,10031,1,1,35,60,81,17,60,1.944444444,1.944444444
Manhattan,Apartment,Private room,10031,2,1,34,70,82,17,35,1.888888889,1.888888889
Manhattan,Bed & Breakfast,Private room,10031,1,1,68,55,86,17,55,3.777777778,3.777777778
Queens,Apartment,Private room,11105,1,1,4,44,100,17,44,0.222222222,0.222222222
Manhattan,Apartment,Entire home/apt,10036,1,1,14,200,87,17,200,0.777777778,0.777777778
Manhattan,Apartment,Entire home/apt,10003,2,1,42,175,95,17,87.5,2.333333333,2.333333333
Manhattan,Apartment,Entire home/apt,10016,1,1,9,250,100,17,250,0.5,0.5
Manhattan,Apartment,Entire home/apt,10128,2,1,7,165,96,17,82.5,0.388888889,0.388888889
Brooklyn,Apartment,Entire home/apt,11238,1,1,13,115,88,17,115,0.722222222,0.722222222
Manhattan,Apartment,Entire home/apt,10005,1,1,16,145,95,17,145,0.888888889,0.888888889
Manhattan,Apartment,Entire home/apt,10016,1,1,47,200,86,17,200,2.611111111,2.611111111
Brooklyn,Loft,Private room,11215,2,1,3,74,80,17,37,0.166666667,0.166666667
Brooklyn,Loft,Private room,11215,2,1,0,74,0,17,37,0,0
Brooklyn,Loft,Private room,11215,1,1,2,84,100,17,84,0.111111111,0.111111111
Manhattan,Apartment,Private room,10009,1,1,3,125,100,17,125,0.166666667,0.166666667
Manhattan,Apartment,Entire home/apt,10016,1,1,42,129,92,17,129,2.333333333,2.333333333
Brooklyn,Apartment,Private room,11216,1,1,41,50,90,17,50,2.277777778,2.277777778
Brooklyn,Apartment,Private room,11216,1,1,52,50,93,17,50,2.888888889,2.888888889
Brooklyn,Apartment,Entire home/apt,11217,3,1,15,185,82,17,61.66666667,0.833333333,0.833333333
Brooklyn,Apartment,Entire home/apt,11217,3,1,21,185,85,17,61.66666667,1.166666667,1.166666667
Brooklyn,Apartment,Entire home/apt,11217,3,1,6,150,76,17,50,0.333333333,0.333333333
Manhattan,Apartment,Entire home/apt,10002,1,1,1,80,80,17,80,0.055555556,0.055555556
Manhattan,Apartment,Entire home/apt,10010,1,1,8,190,89,17,190,0.444444444,0.444444444
Manhattan,Apartment,Entire home/apt,10010,3,1,10,190,80,17,63.33333333,0.555555556,0.555555556
Manhattan,Apartment,Entire home/apt,10010,2,1,1,190,80,17,95,0.055555556,0.055555556
Manhattan,Apartment,Entire home/apt,10010,2,1,29,175,80,17,87.5,1.611111111,1.611111111
Manhattan,Apartment,Entire home/apt,10011,2,1,29,190,93,17,95,1.611111111,1.611111111
Manhattan,Apartment,Entire home/apt,10002,1,1,112,140,94,17,140,6.222222222,6.222222222
Manhattan,Apartment,Entire home/apt,10002,1,1,4,140,95,17,140,0.222222222,0.222222222
Manhattan,Apartment,Private room,10002,1,1,25,75,97,17,75,1.388888889,1.388888889
Manhattan,Apartment,Shared room,10002,1,1,132,45,95,17,45,7.333333333,7.333333333
Manhattan,Apartment,Shared room,10002,1,1,17,45,95,17,45,0.944444444,0.944444444
Brooklyn,Apartment,Entire home/apt,11211,1,1,51,135,95,17,135,2.833333333,2.833333333
Manhattan,Apartment,Entire home/apt,10002,1,1,156,100,86,17,100,8.666666667,8.666666667
Manhattan,Apartment,Entire home/apt,10023,1,1,29,145,91,17,145,1.611111111,1.611111111
Manhattan,Apartment,Entire home/apt,10025,1,1,30,135,94,17,135,1.666666667,1.666666667
Manhattan,Apartment,Entire home/apt,10024,1,1,98,200,94,17,200,5.444444444,5.444444444
Brooklyn,Apartment,Private room,11238,1,1,4,65,100,17,65,0.222222222,0.222222222
Brooklyn,Apartment,Entire home/apt,11222,1,1,1,165,100,17,165,0.055555556,0.055555556
Manhattan,Apartment,Entire home/apt,10025,1,1,24,145,94,17,145,1.333333333,1.333333333
Manhattan,Apartment,Private room,10036,1,1,74,135,97,17,135,4.111111111,4.111111111
Manhattan,Apartment,Entire home/apt,10002,2,1,20,225,89,17,112.5,1.111111111,1.111111111
Manhattan,Apartment,Entire home/apt,10003,3,1,32,250,78,17,83.33333333,1.777777778,1.777777778
Manhattan,Apartment,Entire home/apt,10014,3,1,32,250,85,17,83.33333333,1.777777778,1.777777778
Brooklyn,Apartment,Entire home/apt,11215,1,1,188,145,90,17,145,10.44444444,10.44444444
Brooklyn,Apartment,Entire home/apt,11215,3,1,221,149,92,17,49.66666667,12.27777778,12.27777778
Brooklyn,Apartment,Entire home/apt,11217,1,1,39,150,93,17,150,2.166666667,2.166666667
Manhattan,Apartment,Entire home/apt,10014,1,1,57,200,98,17,200,3.166666667,3.166666667
Brooklyn,Apartment,Entire home/apt,11218,1,1,0,120,0,17,120,0,0
Brooklyn,Apartment,Entire home/apt,11218,1,1,4,150,95,17,150,0.222222222,0.222222222
Manhattan,Apartment,Entire home/apt,10014,1,1,1,175,100,17,175,0.055555556,0.055555556
Manhattan,Apartment,Entire home/apt,10035,2,1,11,109,91,17,54.5,0.611111111,0.611111111
Manhattan,Apartment,Shared room,10027,1,1,3,80,100,17,80,0.166666667,0.166666667
Manhattan,Apartment,Private room,10019,1,1,242,73,85,17,73,13.44444444,13.44444444
Brooklyn,Apartment,Entire home/apt,11215,3,1,67,135,97,17,45,3.722222222,3.722222222
Brooklyn,House,Private room,11215,2,1,95,89,96,17,44.5,5.277777778,5.277777778
Brooklyn,House,Private room,11215,2,1,118,89,92,17,44.5,6.555555556,6.555555556
Brooklyn,Apartment,Entire home/apt,11211,2,1,60,250,96,17,125,3.333333333,3.333333333
Queens,Apartment,Entire home/apt,11358,1,1,0,99,0,17,99,0,0
Brooklyn,Apartment,Entire home/apt,11249,2,1,132,250,93,17,125,7.333333333,7.333333333
Brooklyn,Apartment,Entire home/apt,11249,2,1,136,250,94,17,125,7.555555556,7.555555556
Brooklyn,House,Entire home/apt,11211,2,1,14,250,98,17,125,0.777777778,0.777777778
Brooklyn,Apartment,Entire home/apt,11217,2,1,2,240,100,17,120,0.111111111,0.111111111
Brooklyn,Apartment,Entire home/apt,11213,1,1,0,115,0,17,115,0,0
Brooklyn,Apartment,Private room,11237,1,1,0,72,0,17,72,0,0
